ENTREZID	SYMBOL
653635	WASH7P
729737	LOC729737
102723897	LOC102723897
102465432	NA
100133331	NA
100288069	LOC100288069
643837	LINC01128
26155	NOC2L
339451	KLHL17
84069	PLEKHN1
84808	PERM1
57801	HES4
9636	ISG15
375790	AGRN
105369174	NA
105378948	LOC105378948
401934	RNF223
54991	C1orf159
51150	SDF4
126792	B3GALT6
118424	UBE2J2
116983	ACAP3
126789	PUSL1
54973	INTS11
80772	CPTP
1855	DVL1
54587	MXRA8
54998	AURKAIP1
81669	CCNL2
148413	MRPL20-AS1
55052	MRPL20
441869	ANKRD65
64856	VWA1
219293	ATAD3C
83858	ATAD3B
55210	ATAD3A
29101	SSU72
643988	FNDC10
142678	MIB2
984	CDK11B
728661	SLC35E2B
728642	CDK11A
9906	SLC35E2A
65220	NADK
2782	GNB1
5590	PRKCZ
100506504	PRKCZ-AS1
199990	FAAP20
6497	SKI
79906	MORN1
11079	RER1
5192	PEX10
9651	PLCH2
55229	PANK4
8764	TNFRSF14
127281	PRXL2B
27237	ARHGEF16
1953	MEGF6
127262	TPRG1L
49856	WRAP73
7161	TP73
57470	LRRC47
9731	CEP104
1677	DFFB
339448	C1orf174
261734	NPHP4
8514	KCNAB2
6146	RPL22
388591	RNF207
23463	ICMT
387509	GPR153
11332	ACOT7
54626	HES2
83715	ESPN
8718	TNFRSF25
57449	PLEKHG5
79707	NOL9
3104	ZBTB48
9903	KLHL21
148479	PHF13
90326	THAP3
55735	DNAJC11
23261	CAMTA1
9341	VAMP3
8863	PER3
3604	TNFRSF9
11315	PARK7
54206	ERRFI1
473	RERE
2023	ENO1
80045	GPR157
9563	H6PD
80176	SPSB1
84275	SLC25A33
199953	TMEM201
5293	PIK3CD
22883	CLSTN1
56998	CTNNBIP1
84328	LZIC
64802	NMNAT1
10277	UBE4B
23095	KIF1B
5226	PGD
1676	DFFA
5195	PEX14
54897	CASZ1
23435	TARDBP
10747	MASP2
6723	SRM
5394	EXOSC10
2475	MTOR
29914	UBIAD1
93611	FBXO44
26270	FBXO6
10459	MAD2L2
57085	AGTRAP
4524	MTHFR
1185	CLCN6
90231	KIAA2013
5351	PLOD1
9927	MFN2
60672	MIIP
943	TNFRSF8
7133	TNFRSF1B
55187	VPS13D
9249	DHRS3
7799	PRDM2
23254	KAZN
200197	TMEM51-AS1
55092	TMEM51
114827	FHAD1
79180	EFHD2
842	CASP9
23341	DNAJC16
79814	AGMAT
84301	DDI2
6248	RSC1A1
23207	PLEKHM2
54751	FBLIM1
440567	UQCRHL
729614	SPEN-AS1
23013	SPEN
7709	ZBTB17
1969	EPHA2
128272	ARHGEF19
79363	CPLANE2
54455	FBXO42
26099	SZRD1
55707	NECAP2
114819	CROCCP3
55672	NBPF1
84809	CROCCP2
9696	CROCC
23400	ATP13A2
6390	SDHB
29943	PADI1
51702	PADI3
100616188	MIR3972
55920	RCC2
55160	ARHGEF10L
5081	PAX7
8659	ALDH4A1
126917	IFFO2
23352	UBR4
23065	EMC1
51154	MRTO4
100506730	LOC100506730
8574	AKR7A2
54896	SLC66A1
832	CAPZB
440574	MICOS10
255104	TMCO4
23252	OTUD3
55450	CAMK2N1
79594	MUL1
978	CDA
65018	PINK1
100861548	PINK1-AS
1650	DDOST
400745	SH2D5
50809	HP1BP3
8672	EIF4G3
1889	ECE1
84224	NBPF3
5909	RAP1GAP
84196	USP48
3339	HSPG2
29092	LINC00339
998	CDC42
54361	WNT4
9923	ZBTB40
2048	EPHB2
23028	KDM1A
7798	LUZP1
100996511	LINC01355
10236	HNRNPR
80818	ZNF436
148898	ZNF436-AS1
6920	TCEA3
55616	ASAP3
1870	E2F2
3399	ID3
6135	RPL11
6924	ELOA
57095	PITHD1
11313	LYPLA2
2582	GALE
3155	HMGCL
2517	FUCA1
55629	PNRC2
10772	SRSF10
58985	IL22RA1
163702	IFNLR1
57822	GRHL3
90529	STPG1
57185	NIPAL3
11123	RCAN3
100506985	NCMAP-DT
10250	SRRM1
25932	CLIC4
25949	SYF2
57035	RSRP1
6007	RHD
23585	TMEM50A
55219	MACO1
26119	LDLRAP1
57190	SELENON
56181	MTFR1L
646471	LOC646471
79000	AUNIP
164091	PAQR7
3925	STMN1
5051	PAFAH2
149420	PDIK1L
51042	ZNF593
10256	CNKSR1
64793	CEP85
83442	SH3BGRL3
91544	UBXN11
55057	CRYBG2
79947	DHDDS
3151	HMGN2
6195	RPS6KA1
101928728	LOC101928728
8289	ARID1A
55650	PIGV
84243	ZDHHC18
2810	SFN
54707	GPN2
63906	GPATCH3
10726	NUDC
126695	KDF1
388610	TRNP1
115572	TENT5B
6548	SLC9A1
23038	WDTC1
84065	TMEM222
644961	ACTG1P20
84958	SYTL1
9064	MAP3K6
2827	GPR3
10163	WASF2
27245	AHDC1
2537	IFI6
199870	FAM76A
23673	STX12
5511	PPP1R8
6118	RPA2
27293	SMPDL3B
55113	XKR8
2140	EYA3
5724	PTAFR
22826	DNAJC8
93974	ATP5IF1
83667	SESN2
54797	MED18
65979	PHACTR4
1104	RCC1
8420	SNHG3
6080	SNORA73A
54952	TRNAU1AP
85028	SNHG12
677838	SNORA61
115273	RAB42
6883	TAF12
10691	GMEB1
51441	YTHDF2
2035	EPB41
6429	SRSF4
51102	MECR
10076	PTPRU
100129196	MATN1-AS1
7805	LAPTM5
9672	SDC3
9698	PUM1
9410	SNRNP40
51538	ZCCHC17
347735	SERINC2
64129	TINAGL1
553115	PEF1
1307	COL16A1
576	ADGRB2
90853	SPOCD1
8073	PTP4A2
10657	KHDRBS1
55116	TMEM39B
23633	KPNA6
200081	TXLNA
79140	CCDC28B
56063	TMEM234
55721	IQCC
8668	EIF3I
339483	MTMR9LP
3932	LCK
3065	HDAC1
65108	MARCKSL1
55108	BSDC1
653121	ZBTB8A
339487	ZBTB8OS
5928	RBBP4
57648	NHSL3
8565	YARS1
64766	S100PBP
113452	TMEM54
127544	RNF19B
204	AK2
113451	AZIN2
55223	TRIM62
149076	ZNF362
1912	PHC2
7579	ZSCAN20
2709	GJB5
127534	GJB4
2707	GJB3
113444	SMIM12
653160	GPR199P
